Finished,Tony Hawk's Pro Skater HD,14
Ignored,Topi y Teo 2,9
Finished,Topi y Teo 3,9
Ignored,Train Simulator,14
Started,Transistor,14
Ignored,Tropico 4,14
New,Two Brothers,14
Completed,Umineko no Naku Koro Ni,14
Completed,Umineko no Naku Koro Ni Chiru,14
Ignored,Umineko: Golden Fantasia,14
Completed,Undertale,14
Started,Vanquish,14
Ignored,Vanquish,21
Ignored,Vectorman,16
Ignored,Vectorman 2,16
Ignored,Virtua Fighter 2,16
Completed,Virtue's Last Reward,1
Finished,VVVVVV,14
Ignored,Warframe,14
Completed,Wario Land,5
Completed,Wario Land 4,6
Finished,WarioWare: Touched!,8
Ignored,WarTech: Senko no Ronde,21
Completed,We Love Katamari,10
Ignored,Whirl Tour,10
Ignored,Wii Fit,17
Ignored,Wii Sports,17
Ignored,Wonder Boy III - Monster Lair,16
Ignored,Wonder Boy in Monster World,16
Finished,Woody Woodpecker Racing,5
Completed,World of Goo,14
Ignored,Xenoblade Chronicles,17
New,Yakuza 0,14
Started,Yooka-Laylee,14
Finished,Ys I,14
Started,Ys II,14
Started,Ys Origin,14
New,Ys VI: The Ark of Napishtim,14
Finished,Ys: The Oath in Felghana,14
Ignored,Yu Gi Oh! Reshef el Destructor,6
Finished,Yu Gi Oh! World Championship 2004,6
Ignored,Yu Gi Oh! World Championship 2010,8
Completed,Yume Nikki,14
Ignored,Zone of the Enders,10
New,Zone of the Enders: The 2nd Runner,10
